featureIdInt,featureIdName,name,preferenceKey,target,phase,installer,installHook,enableCondition,allowedProcess,deniedProcess
41,selective_vibration,Selective Vibration,system_vibration,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemAudioHooks.SelectiveVibrationHook(lpparam),"prefs.getStringAsInt(""system_vibration"", 1) > 1",system_server,
42,selective_toasts,Selective Toasts,system_blocktoasts,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,ModsSystem.SelectiveToastsHook(lpparam),"prefs.getStringAsInt(""system_blocktoasts"", 1) > 1",system_server,
43,fingerprint_haptic_success,Fingerprint Haptic Success,controls_fingerprintsuccess,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Controls.FingerprintHapticSuccessHook(lpparam),"prefs.getStringAsInt(""controls_fingerprintsuccess"", 1) > 1",system_server,
44,volume_media_buttons,Volume Media Buttons,controls_volumemedia_up,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,Controls.VolumeMediaButtonsHook(lpparam),"prefs.getStringAsInt(""controls_volumemedia_up"", 0) > 0 || prefs.getStringAsInt(""controls_volumemedia_down"", 0) > 0",system_server,
45,multi_window_plus,Multi Window Plus,system_fw_splitscreen,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemWindowHooks.MultiWindowPlusHook(lpparam),"prefs.getBoolean(""system_fw_splitscreen"")",system_server,
46,no_floating_window_blacklist,No Floating Window Blacklist,system_fw_noblacklist,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemWindowHooks.NoFloatingWindowBlacklistHook(lpparam),"prefs.getBoolean(""system_fw_noblacklist"")",system_server,
47,no_access_device_logs_request,No Access Device Logs Request,various_disable_access_devicelogs,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemSecurityHooks.NoAccessDeviceLogsRequest(lpparam),"prefs.getBoolean(""various_disable_access_devicelogs"")",system_server,
48,wallpaper_scale_level,Wallpaper Scale Level,system_other_wallpaper_scale,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemDisplayHooks.WallpaperScaleLevelHook(lpparam),"prefs.getInt(""system_other_wallpaper_scale"", 6) > 6",system_server,
49,allow_untrusted_touch,Allow Untrusted Touch,various_allow_untrusted_touch,SYSTEM_SERVER,SYSTEM_SERVER_STARTING,SystemServerFeatures,SystemWindowHooks.AllowUntrustedTouchHook(lpparam),"prefs.getBoolean(""various_allow_untrusted_touch"")",system_server,
50,foreground_monitor,Foreground Monitor,various_showcallui,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,GlobalActions.setupForegroundMonitor(lpparam),"prefs.getStringAsInt(""various_showcallui"", 0) > 0 || prefs.getBoolean(""controls_volumecursor"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
51,temp_hide_overlay_system_ui,Temp Hide Overlay System UI,system_screenshot_overlay,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIScreenshotHooks.TempHideOverlaySystemUIHook(lpparam),"prefs.getBoolean(""system_screenshot_overlay"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
52,add_custom_tile,Add Custom Tile,system_fivegtile,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIControlCenterHooks.AddCustomTileHook(lpparam),"prefs.getBoolean(""system_fivegtile"") || prefs.getBoolean(""system_cc_fpstile"") || prefs.getBoolean(""system_cc_floatingtimetile"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
53,hide_status_bar_when_capture,Hide Status Bar When Capture,system_hidestatusbar_whenscreenshot,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIScreenshotHooks.HideStatusBarWhenCaptureHook(lpparam),"prefs.getBoolean(""system_hidestatusbar_whenscreenshot"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
54,network_indicator_wifi,Network Indicator WiFi,system_networkindicator_wifi,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,ModsSystem.NetworkIndicatorWifi(lpparam),"prefs.getBoolean(""system_networkindicator_wifi"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
55,drawer_blur_ratio,Drawer Blur Ratio,system_drawer_blur,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemDisplayHooks.DrawerBlurRatioHook(lpparam),"prefs.getInt(""system_drawer_blur"", 100) < 100",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
56,charge_animation,Charge Animation,system_chargeanimtime,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemDisplayHooks.ChargeAnimationHook(lpparam),"prefs.getInt(""system_chargeanimtime"", 20) < 20",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
57,betterpopups_hide_delay,Better Popups Hide Delay,system_betterpopups_delay,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemNotificationHooks.BetterPopupsHideDelayHook(lpparam),"prefs.getInt(""system_betterpopups_delay"", 0) > 0 && !prefs.getBoolean(""system_betterpopups_nohide"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
58,assist_gesture_action,Assist Gesture Action,controls_fsg_assist_left_action,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,Controls.AssistGestureActionHook(lpparam),"prefs.getInt(""controls_fsg_assist_left_action"", 1) > 1 || prefs.getInt(""controls_fsg_assist_right_action"", 1) > 1",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
59,nav_bar_buttons,Nav Bar Buttons,controls_navbarleft_action,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,Controls.NavBarButtonsHook(lpparam),"prefs.getInt(""controls_navbarleft_action"", 1) > 1 ||",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
60,scramble_pin,Scramble PIN,system_scramblepin,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemLockScreenHooks.ScramblePINHook(lpparam),"prefs.getBoolean(""system_scramblepin"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
61,double_tap_to_sleep,Double Tap To Sleep,system_dttosleep,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemLockScreenHooks.DoubleTapToSleepHook(lpparam),"prefs.getBoolean(""system_dttosleep"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
62,status_bar_clock_tweak,Status Bar Clock Tweak,system_statusbar_clocktweak,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemClockHooks.StatusBarClockTweakHook(lpparam),"prefs.getBoolean(""system_statusbar_clocktweak"") ||",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
63,cc_clock_tweak,CC Clock Tweak,system_cc_clocktweak,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemClockHooks.CCClockTweakHook(lpparam),"prefs.getBoolean(""system_cc_clocktweak"") || prefs.getBoolean(""system_qs_force_systemfonts"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
64,disable_fake_clock_anim,Disable Fake Clock Anim,system_qs_disable_fakeclock_anim,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIStatusBarHooks.DisableFakeClockAnimHook(lpparam),"prefs.getBoolean(""system_qs_disable_fakeclock_anim"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
65,cc_clock_center_align,CC Clock Center Align,system_cc_clock_centeralign,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemClockHooks.CCClockCenterAlignHook(lpparam),"prefs.getBoolean(""system_cc_clock_centeralign"") ||",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
66,no_screen_lock,No Screen Lock,system_noscreenlock_act,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemLockScreenHooks.NoScreenLockHook(lpparam),"prefs.getBoolean(""system_noscreenlock_act"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
67,lock_screen_album_art,Lock Screen Album Art,system_albumartonlock,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUILockScreenHooks.LockScreenAlbumArtHook(lpparam),"prefs.getBoolean(""system_albumartonlock"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
68,expand_heads_up,Expand Heads Up,system_expandheadups,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemNotificationHooks.ExpandHeadsUpHook(lpparam),"prefs.getStringAsInt(""system_expandheadups"", 1) > 1",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
69,betterpopups_no_hide,Better Popups No Hide,system_betterpopups_nohide,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemNotificationHooks.BetterPopupsNoHideHook(lpparam),"prefs.getBoolean(""system_betterpopups_nohide"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
70,betterpopups_centered,Better Popups Centered,system_betterpopups_center,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemNotificationHooks.BetterPopupsCenteredHook(lpparam),"prefs.getBoolean(""system_betterpopups_center"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
71,show_notifications_after_unlock,Show Notifications After Unlock,system_notifafterunlock,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemLockScreenHooks.ShowNotificationsAfterUnlockHook(lpparam),"prefs.getBoolean(""system_notifafterunlock"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
72,notification_row_menu,Notification Row Menu,system_notifrowmenu,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemNotificationHooks.NotificationRowMenuHook(lpparam),"prefs.getBoolean(""system_notifrowmenu"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
73,hide_dismiss_view,Hide Dismiss View,system_removedismiss,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUINotificationHooks.HideDismissViewHook(lpparam),"prefs.getBoolean(""system_removedismiss"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
74,hide_notification_access_icon,Hide Notification Access Icon,system_drawer_removeshortcut,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUINotificationHooks.HideNoficationAccessIconHook(lpparam),"prefs.getBoolean(""system_drawer_removeshortcut"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
75,hide_no_notifications,Hide No Notifications,system_drawer_remove_emptynotify,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUINotificationHooks.HideNoNotificationsHook(lpparam),"prefs.getBoolean(""system_drawer_remove_emptynotify"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
76,hide_nav_bar,Hide Nav Bar,controls_nonavbar,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,Controls.HideNavBarHook(lpparam),"prefs.getBoolean(""controls_nonavbar"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
77,hide_nav_bar_before_screenshot,Hide Nav Bar Before Screenshot,controls_hidenavbar_whenscreenshot,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIScreenshotHooks.HideNavBarBeforeScreenshotHook(lpparam),"!prefs.getBoolean(""controls_nonavbar"") && prefs.getBoolean(""controls_hidenavbar_whenscreenshot"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
78,audio_visualizer,Audio Visualizer,system_visualizer,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemAudioHooks.AudioVisualizerHook(lpparam),"prefs.getBoolean(""system_visualizer"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
79,control_center_plugin,Control Center Plugin,null,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIControlCenterHooks.ControlCenterPluginHook(lpparam),SystemUIControlCenterHooks.hasControlCenterModifications(),com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
80,battery_indicator,Battery Indicator,system_batteryindicator,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIStatusBarHooks.BatteryIndicatorHook(lpparam),"prefs.getBoolean(""system_batteryindicator"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
81,disable_any_notification,Disable Any Notification,system_disableanynotif,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemNotificationHooks.DisableAnyNotificationHook(lpparam),"prefs.getBoolean(""system_disableanynotif"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
82,lock_screen_shortcut,Lock Screen Shortcut,system_lockscreenshortcuts,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUILockScreenHooks.LockScreenShortcutHook(lpparam),"prefs.getBoolean(""system_lockscreenshortcuts"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
83,mobile_network_type,Mobile Network Type,system_4gtolte,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIStatusBarHooks.MobileNetworkTypeHook(lpparam),"prefs.getBoolean(""system_4gtolte"") ||",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
84,status_bar_icons_position_adjust,Status Bar Icons Position Adjust,system_statusbar_alarm_atright,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,"SystemUIStatusBarHooks.StatusBarIconsPositionAdjustHook(lpparam, computeStatusBarIconsAdjust(mPrefs).second)",computeStatusBarIconsAdjust(prefs).first,com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
85,monitor_device_info,Monitor Device Info,system_statusbar_batterytempandcurrent,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,"SystemUIStatusBarHooks.MonitorDeviceInfoHook(lpparam, mPrefs)","prefs.getBoolean(""system_statusbar_batterytempandcurrent"") ||",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
86,status_bar_clock_position,Status Bar Clock Position,system_statusbar_clock_position,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIStatusBarHooks.StatusBarClockPositionHook(lpparam),"prefs.getStringAsInt(""system_statusbar_clock_position"", 1) > 1 &&",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
87,status_bar_style_battery_icon,Status Bar Style Battery Icon,system_statusbar_batterystyle,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIStatusBarHooks.StatusBarStyleBatteryIconHook(lpparam),"prefs.getBoolean(""system_statusbar_batterystyle"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
88,lock_screen_top_margin,Lock Screen Top Margin,system_statusbar_topmargin,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUILockScreenHooks.LockScreenTopMarginHook(lpparam),"prefs.getBoolean(""system_statusbar_topmargin"") &&",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
89,horiz_margin,Horiz Margin,system_statusbar_horizmargin,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIStatusBarHooks.HorizMarginHook(lpparam),"prefs.getBoolean(""system_statusbar_horizmargin"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
90,brightness_pct,Brightness Pct,system_showpct,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIControlCenterHooks.BrightnessPctHook(lpparam),"prefs.getBoolean(""system_showpct"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
91,hide_lock_screen_status_bar,Hide Lock Screen Status Bar,system_hidelsstatusbar,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemLockScreenHooks.HideLockScreenStatusBarHook(lpparam),"prefs.getBoolean(""system_hidelsstatusbar"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
92,hide_lock_screen_clock,Hide Lock Screen Clock,system_hidelsclock,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemLockScreenHooks.HideLockScreenClockHook(lpparam),"prefs.getBoolean(""system_hidelsclock"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
93,force_clock_use_system_fonts,Force Clock Use System Fonts,system_ls_force_systemfonts,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemUIStatusBarHooks.ForceClockUseSystemFontsHook(lpparam),"prefs.getBoolean(""system_ls_force_systemfonts"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
94,hide_lock_screen_hint,Hide Lock Screen Hint,system_hidelshint,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemLockScreenHooks.HideLockScreenHintHook(lpparam),"prefs.getBoolean(""system_hidelshint"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
95,allow_all_keyguard,Allow All Keyguard,system_allownotifonkeyguard,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemLockScreenHooks.AllowAllKeyguardHook(lpparam),"prefs.getBoolean(""system_allownotifonkeyguard"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
96,allow_all_float,Allow All Float,system_allownotiffloat,SYSTEM_UI,PACKAGE_READY,SystemUiFeatures,SystemWindowHooks.AllowAllFloatHook(lpparam),"prefs.getBoolean(""system_allownotiffloat"")",com.android.systemui,miui.systemui.plugin (ClassLoader extracted at runtime)
